Designator,Mid X,Mid Y,Rotation,Layer
Attiny85,164.9,-79.95,180.0,bottom
BT1,210.4,-79.975,180.0,top
C1,200.525,-74.625,90.0,top
C2,200.525,-85.325,270.0,top
D1,173.8,-83.75,90.0,bottom
D3,173.995,-90.45,180.0,bottom
D4,156.655,-90.45,0.0,bottom
D5,173.995,-69.45,180.0,bottom
D6,156.655,-69.45,0.0,bottom
Q1,192.325,-78.525,180.0,top
R1,188.44,-77.775,0.0,bottom
R2,195.76,-82.175,180.0,bottom
SW1,183.05,-69.45,180.0,bottom
SW2,176.55,-90.45,0.0,bottom
SW3,176.55,-82.2,0.0,bottom
U1,163.525,-79.95,90.0,top
